Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,513.5,522.0,513.2000122070312,514.9000244140625,506.9879150390625,12370288
2022-04-12,512.75,516.7000122070312,504.3500061035156,512.8499755859375,504.9693603515625,14460680
2022-04-13,514.2999877929688,520.9000244140625,513.75,517.7000122070312,509.744873046875,15440525
2022-04-18,512.0,515.0,504.0,509.5,501.6708679199219,14492183
2022-04-19,513.25,520.9500122070312,505.1000061035156,511.79998779296875,503.9355163574219,20362934
2022-04-20,512.0,513.7000122070312,507.0,509.29998779296875,501.47393798828125,11881305
2022-04-21,513.4000244140625,518.0,512.2000122070312,516.2999877929688,508.3663635253906,10035638
2022-04-22,512.9000244140625,513.5,499.0,500.6000061035156,492.9076232910156,16760456
2022-04-25,495.0,499.20001220703125,490.04998779296875,494.75,487.14752197265625,14057444
2022-04-26,499.0,507.8999938964844,498.45001220703125,505.5,497.7323303222656,12137213
2022-04-27,500.0,502.79998779296875,491.8500061035156,497.25,489.6091003417969,12367342
2022-04-28,499.1499938964844,510.0,496.5,507.5,499.70159912109375,12154792
2022-04-29,508.1000061035156,512.5,494.0,496.29998779296875,488.6736755371094,12894773
2022-05-02,492.6499938964844,495.0,481.29998779296875,491.0,483.45513916015625,18590895
2022-05-04,492.0,496.45001220703125,477.5,479.6499938964844,472.279541015625,14645323
2022-05-05,485.0,494.0,478.6499938964844,480.0,472.6241760253906,14130385
2022-05-06,471.0,486.1000061035156,471.0,483.95001220703125,476.51348876953125,16710020
2022-05-09,477.1000061035156,483.70001220703125,473.79998779296875,475.8999938964844,468.587158203125,13544947
2022-05-10,477.0,482.54998779296875,473.5,475.20001220703125,467.89794921875,10884328
2022-05-11,475.25,479.0,463.6499938964844,476.54998779296875,469.2271728515625,14771351
2022-05-12,473.0,473.0,456.3500061035156,462.6499938964844,455.540771484375,18947096
2022-05-13,469.45001220703125,477.0,439.75,444.6499938964844,437.8173522949219,61403008
2022-05-16,445.0,461.5,438.8500061035156,455.0,448.0083312988281,27940958
2022-05-17,458.29998779296875,469.6499938964844,456.1499938964844,467.29998779296875,460.11932373046875,16880698
2022-05-18,467.8999938964844,468.6000061035156,457.1000061035156,458.0,450.96221923828125,15644497
2022-05-19,449.04998779296875,450.0,444.45001220703125,447.5,440.6235656738281,14201420
2022-05-20,454.8500061035156,464.0,454.1499938964844,462.3999938964844,455.29461669921875,13596860
2022-05-23,463.1000061035156,471.3999938964844,459.5,460.8999938964844,453.8176574707031,13499415
2022-05-24,462.3999938964844,466.79998779296875,460.20001220703125,462.04998779296875,454.9499816894531,17175179
2022-05-25,461.0,464.45001220703125,452.04998779296875,454.1000061035156,454.1000061035156,12728644
2022-05-26,456.8500061035156,470.1000061035156,452.5,468.8999938964844,468.8999938964844,17055257
2022-05-27,471.3999938964844,475.0,467.5,468.95001220703125,468.95001220703125,10977001
2022-05-30,473.0,476.8999938964844,471.1000061035156,474.6000061035156,474.6000061035156,9365470
2022-05-31,474.0,476.3999938964844,465.0,468.1000061035156,468.1000061035156,15441579
2022-06-01,468.0,472.0,464.70001220703125,468.29998779296875,468.29998779296875,9424008
2022-06-02,466.8999938964844,472.3500061035156,466.1499938964844,469.8500061035156,469.8500061035156,9370989
2022-06-03,473.25,475.5,463.5,464.5,464.5,11306291
2022-06-06,464.20001220703125,465.6000061035156,456.5,463.70001220703125,463.70001220703125,10661432
2022-06-07,461.8500061035156,465.95001220703125,460.5,463.3999938964844,463.3999938964844,7672515
2022-06-08,466.6000061035156,475.54998779296875,463.20001220703125,471.29998779296875,471.29998779296875,17168871
2022-06-09,468.95001220703125,470.8999938964844,462.45001220703125,466.95001220703125,466.95001220703125,12635601
2022-06-10,462.0,464.1499938964844,458.6000061035156,461.8500061035156,461.8500061035156,8621104
2022-06-13,454.0,454.04998779296875,442.1000061035156,445.8500061035156,445.8500061035156,13426836
2022-06-14,445.0,449.25,443.3500061035156,448.1000061035156,448.1000061035156,11351101
2022-06-15,448.95001220703125,455.45001220703125,448.6000061035156,451.3500061035156,451.3500061035156,9920926
2022-06-16,455.1499938964844,457.75,440.1499938964844,441.6000061035156,441.6000061035156,10780703
2022-06-17,440.0,447.54998779296875,437.25,441.0,441.0,14326050
2022-06-20,441.5,443.45001220703125,430.70001220703125,434.70001220703125,434.70001220703125,12368534
2022-06-21,439.5,454.95001220703125,437.6000061035156,450.75,450.75,13801891
2022-06-22,448.75,451.20001220703125,444.6499938964844,447.6499938964844,447.6499938964844,11066447
2022-06-23,449.0,456.45001220703125,446.0,451.3999938964844,451.3999938964844,12229833
2022-06-24,455.79998779296875,460.3500061035156,453.20001220703125,454.25,454.25,10833364
2022-06-27,459.95001220703125,464.8500061035156,458.04998779296875,461.20001220703125,461.20001220703125,9509175
2022-06-28,458.8999938964844,465.75,458.0,464.25,464.25,13261290
2022-06-29,460.0,462.70001220703125,458.0,459.1000061035156,459.1000061035156,11800876
2022-06-30,459.0,469.29998779296875,458.6000061035156,465.8999938964844,465.8999938964844,16926328
2022-07-01,463.3500061035156,468.79998779296875,460.54998779296875,466.8500061035156,466.8500061035156,9405495
2022-07-04,466.8500061035156,474.1499938964844,466.8500061035156,473.45001220703125,473.45001220703125,9186358
2022-07-05,475.1499938964844,480.0,471.0,472.1499938964844,472.1499938964844,12003244
2022-07-06,475.1499938964844,481.0,473.8999938964844,479.95001220703125,479.95001220703125,12059857
2022-07-07,484.0,488.25,481.6000061035156,486.75,486.75,11497832
2022-07-08,489.0,489.8999938964844,485.1499938964844,488.54998779296875,488.54998779296875,9057231
2022-07-11,485.0,491.29998779296875,485.0,488.20001220703125,488.20001220703125,7704792
2022-07-12,485.0,491.3500061035156,483.1000061035156,484.95001220703125,484.95001220703125,7364457
2022-07-13,487.75,492.45001220703125,484.54998779296875,486.5,486.5,8208853
